Código,Descripción,Code,P Code,Código Interno,Latitud,Longitud
ancu,ANCUD,ancu,515,ANC,-41.87365127,-73.8312149
anto,ANTOFAGASTA,anto,265,ANT,-23.65317707,-70.40443398
aric,ARICA,aric,210,ARI,-18.47579316,-70.32325476
bmsa,BAHIA MANSA,bmsa,505,BAM,-40.581105,-73.737021
buca,BUCALEMU,buca,401,BUC,-34.6394,-72.0455
cald,CALDERA,cald,300,CAL,-27.06468845,-70.82469929
chnr,CHANARAL,chnr,290,CHN,-26.35176944,-70.63365556
cmet,METEORO,cmet,937,MET,-52.96,-74.066
coli,COLIUMO,coli,425,COL,-36.5378,-72.9572
const,CONSTITUCION,const,410,CST,-35.3559194,-72.4581
coqu,COQUIMBO,coqu,330,COQ,-29.95786264,-71.33320659
corr,CORRAL,corr,500,COR,-39.8849359,-73.42747539
crnl,CORONEL,crnl,455,CRN,-37.028605,-73.151731
cstr,CASTRO,cstr2,580,CAS,-42.480887,-73.758461
east,PASCUA,east,305,PAS,-27.15485,-109.439426
greg,GREGORIO,greg,1123,GRE,-52.64818512,-70.20917371
huas,HUASCO,huas3,320,HUA,-28.46078847,-71.22376138
iqui,IQUIQUE,iqui,235,IQQ,-20.20461741,-70.14789212
juan,JUAN FERNANDEZ,juan,390,JFZ,-33.63727487,-78.83068085
lebu,LEBU,lebu,470,LEB,-37.594225,-73.66398
meji,MEJILLONES,meji,260,MEJ,-23.0976448,-70.450885
ntue,NEHUENTUE,ntue,480,NHE,-38.75,-73.41
papo,PAPOSO,papo,275,PAP,-25.0088604,-70.46873018
pata,PATACHE,pata,236,PAT,-20.803213,-70.198029
pcha,CHACABUCO,pcha,685,CHA,-45.46711532,-72.81998385
pedn,PUERTO EDEN,pedn,775,EDN,-49.137227,-74.425374
pich,PICHIDANGUI,pich3,350,PIC,-32.13566151,-71.52930254
pisa,PISAGUA,pisa,225,PIS,-19.59694912,-70.21569058
pmel,MELINKA,pmel,625,MEL,-43.898463,-73.748199
pmon,PUERTO MONTT,pmon,540,PMO,-41.4847334,-72.96135423
prat,BASE PRAT,prat,1310,PRT,-62.479267,-59.662899
ptal,PUERTO ALDEA,ptal,337,PAD,-30.29214528,-71.60803625
ptar,PUNTA ARENAS,ptar,1005,PAR,-53.123727,-70.861985
pwil,PUERTO WILLIAMS,pwil,1220,WIL,-54.933197,-67.61057
qtro,QUINTERO,qtro,365,QUI,-32.77555931,-71.5254854
quel,QUEULE,quel,485,QLE,-39.39769284,-73.21500421
quir,QUIRIQUINA,quir,430,QNA,-36.6362347,-73.05721238
sanf,FELIX,sanf,285,SFX,-26.292215,-80.108548
sano,SAN ANTONIO,sano,385,SON,-33.58162783,-71.61816109
talc,TALCAHUANO,talc,435,THN,-36.69538813,-73.10629822
talt,TALTAL,talt3,280,TAL,-25.40810326,-70.49170841
toco,TOCOPILLA,toco3,250,TOC,-22.09374206,-70.21164045
valp,VALPARAISO,valp,370,VLP,-33.08006234,-71.59636348
